"Subject","Day","LGRD"
1,1,-0.075
1,2,0.0916666666666667
1,3,0.133333333333333
1,4,0.133333333333333
1,5,0.133333333333333
1,6,0.383333333333333
1,7,0.508333333333333
1,8,0.508333333333333
1,9,0.3
1,10,0.258333333333333
1,11,0.0916666666666667
1,12,0.175
1,13,0.466666666666667
1,14,0.258333333333333
1,15,0.591666666666667
1,16,0.466666666666667
1,17,0.425
1,18,0.466666666666667
1,19,0.175
1,20,0.175
1,21,0.3
1,22,0.425
1,23,0.425
1,24,0.383333333333333
1,25,0.258333333333333
1,26,0.175
1,27,0.383333333333333
1,28,0.383333333333333
1,29,0.3
1,30,0.591666666666667
1,31,0.216666666666667
1,32,-0.116666666666667
1,33,0.216666666666667
1,34,0.3
1,35,0.216666666666667
1,36,0.3
1,37,0.383333333333333
1,38,-0.0333333333333334
1,39,0.258333333333333
1,40,0.466666666666667
1,41,0.425
1,42,0.0916666666666667
1,43,0.466666666666667
1,44,0.258333333333333
1,45,0.425
1,46,0.05
1,47,0.0916666666666667
1,48,0.258333333333333
1,49,0.258333333333333
1,50,0.258333333333333
1,51,0.425
1,52,0.466666666666667
1,53,0.466666666666667
1,54,0.591666666666667
1,55,0.216666666666667
1,56,0.383333333333333
1,57,0.175
1,58,0.55
1,59,0.716666666666667
1,60,0.341666666666667
1,61,0.3
1,62,0.591666666666667
1,63,0.3
1,64,0.216666666666667
1,65,0.383333333333333
1,66,0.341666666666667
1,67,0.591666666666667
1,68,0.258333333333333
1,69,0.425
1,70,0.383333333333333
2,1,0.00833333333333333
2,2,-0.075
2,3,-0.116666666666667
2,4,0.00833333333333333
2,5,0.175
2,6,0.216666666666667
2,7,0.00833333333333333
2,8,0.05
2,9,0.341666666666667
2,10,-0.075
2,11,0.175
2,12,0.258333333333333
2,13,0.341666666666667
2,14,0.466666666666667
2,15,0.55
2,16,0.258333333333333
2,17,0.341666666666667
2,18,0.175
2,19,0.216666666666667
2,20,0.425
2,21,0.341666666666667
2,22,0.3
2,23,0.633333333333333
2,24,0.133333333333333
2,25,0.175
2,26,0.341666666666667
2,27,0.425
2,28,0.175
2,29,0.55
2,30,0.341666666666667
2,31,0.133333333333333
2,32,0.383333333333333
2,33,0.341666666666667
2,34,0.175
2,35,0.55
2,36,0.466666666666667
2,37,0.425
2,38,0.425
2,39,0.633333333333333
2,40,0.0916666666666667
2,41,0.383333333333333
2,42,0.216666666666667
2,43,0.0916666666666667
2,44,0.383333333333333
2,45,0.591666666666667
2,46,0.425
2,47,0.0916666666666667
2,48,0.425
2,49,0.383333333333333
2,50,0.05
2,51,0.175
2,52,0.425
2,53,0.258333333333333
2,54,0.3
2,55,0.175
2,56,0.216666666666667
2,57,0.55
2,58,0.0916666666666667
2,59,0.508333333333333
